,uid,iid,r_ui,est,details
0,Shouichirou,12679,8.0,7.466544675191275,"{'actual_k': 20, 'was_impossible': False}"
1,aleigh,2904,9.0,9.28604827595691,"{'actual_k': 40, 'was_impossible': False}"
2,bigkfc2k8,267,6.0,8.736401918625553,"{'actual_k': 31, 'was_impossible': False}"
3,Torah,6956,10.0,8.734453997258518,"{'actual_k': 40, 'was_impossible': False}"
4,godT,63,7.0,8.273319474501767,"{'actual_k': 40, 'was_impossible': False}"
5,lightofzeref,36511,7.0,7.127748926326364,"{'actual_k': 9, 'was_impossible': False}"
6,ranmaSA,401,10.0,9.766685786174431,"{'actual_k': 20, 'was_impossible': False}"
7,Josay,16664,9.0,7.853661578456564,"{'actual_k': 23, 'was_impossible': False}"
8,Vanroy17,58,8.0,7.937433467971834,"{'actual_k': 16, 'was_impossible': False}"
9,Ammes,814,9.0,8.843875920293113,"{'actual_k': 6, 'was_impossible': False}"
10,COpeter,1594,7.0,7.627728038916561,"{'actual_k': 33, 'was_impossible': False}"
11,ricebash,3467,8.0,7.976310412772065,"{'actual_k': 40, 'was_impossible': False}"
12,ComicalVoid,21033,8.0,7.53299404887582,"{'actual_k': 21, 'was_impossible': False}"
13,aniloratka,2025,7.0,7.909772176991412,"{'actual_k': 40, 'was_impossible': False}"
14,shanoliu,14893,6.0,5.945932913271481,"{'actual_k': 17, 'was_impossible': False}"
15,Croissant07,21659,8.0,8.727406850680314,"{'actual_k': 30, 'was_impossible': False}"
16,Shun,834,7.0,7.208002977309668,"{'actual_k': 40, 'was_impossible': False}"
17,Brompot90,27833,8.0,8.448767285482075,"{'actual_k': 24, 'was_impossible': False}"
18,darthghost,13335,7.0,7.052048766394686,"{'actual_k': 5, 'was_impossible': False}"
19,Ascension,584,10.0,10.0,"{'actual_k': 12, 'was_impossible': False}"
20,cassandra9891,232,9.0,8.25392135731377,"{'actual_k': 40, 'was_impossible': False}"
21,Cloudiez,10087,9.0,9.16926271532934,"{'actual_k': 40, 'was_impossible': False}"
22,nikmax,20,6.0,7.041089036522909,"{'actual_k': 40, 'was_impossible': False}"
23,bestpsychosean,1887,6.0,7.30996578492493,"{'actual_k': 40, 'was_impossible': False}"
24,Croissant07,25519,9.0,8.069805637214246,"{'actual_k': 19, 'was_impossible': False}"
25,Pururut-sama,11341,7.0,7.967963283892474,"{'actual_k': 5, 'was_impossible': False}"
26,kintama,6880,9.0,8.205497139803857,"{'actual_k': 40, 'was_impossible': False}"
27,x_rated_bunny,33731,8.0,7.406465461131479,"{'actual_k': 30, 'was_impossible': False}"
28,Canari,341,8.0,7.037535455772562,"{'actual_k': 16, 'was_impossible': False}"
29,Nucik,14645,7.0,6.602996953341625,"{'actual_k': 10, 'was_impossible': False}"
30,Bakamon787,552,9.0,8.424410801532895,"{'actual_k': 40, 'was_impossible': False}"
31,lednera,3467,8.0,7.030026177528519,"{'actual_k': 40, 'was_impossible': False}"
32,Relama,32899,8.0,6.540156103977647,"{'actual_k': 28, 'was_impossible': False}"
33,Dark_Moon13,9989,10.0,8.88004210425686,"{'actual_k': 40, 'was_impossible': False}"
34,shyguy,3358,6.0,7.014068253708369,"{'actual_k': 26, 'was_impossible': False}"
35,FrozunLightning,14749,8.0,6.5113158479478,"{'actual_k': 40, 'was_impossible': False}"
36,raduccio,21843,8.0,8.602968714810384,"{'actual_k': 40, 'was_impossible': False}"
37,Kazoo,15451,8.0,7.059235699306285,"{'actual_k': 40, 'was_impossible': False}"
38,Rogerli10,15809,9.0,9.03836556545977,"{'actual_k': 40, 'was_impossible': False}"
39,OtakuBaz,24415,8.0,8.793248740842023,"{'actual_k': 40, 'was_impossible': False}"
40,bakaneko3115,7193,10.0,7.781210422409259,"{'actual_k': 17, 'was_impossible': False}"
41,xitsmallpie,16706,9.0,7.8260256104806105,"{'actual_k': 40, 'was_impossible': False}"
42,Angelkappa,32494,7.0,6.926512199814217,"{'actual_k': 18, 'was_impossible': False}"
43,angelei28,73,7.0,9.594687698002065,"{'actual_k': 40, 'was_impossible': False}"
44,Rottenn,10719,8.0,8.125466451849334,"{'actual_k': 40, 'was_impossible': False}"
45,KarokuChan,130,8.0,7.137728789808071,"{'actual_k': 6, 'was_impossible': False}"
46,Rowan93,20057,9.0,6.069317886774424,"{'actual_k': 32, 'was_impossible': False}"
47,czerkill,6633,8.0,7.891509610388587,"{'actual_k': 17, 'was_impossible': False}"
48,Angel629,90,8.0,8.205714311003344,"{'actual_k': 21, 'was_impossible': False}"
49,penquguu,31368,8.0,6.442192172897563,"{'actual_k': 6, 'was_impossible': False}"
50,Ishin,19815,8.0,8.790516808919936,"{'actual_k': 40, 'was_impossible': False}"
51,Viendo,6205,10.0,6.697975665603222,"{'actual_k': 40, 'was_impossible': False}"
52,bigkfc2k8,202,8.0,8.620723891187117,"{'actual_k': 40, 'was_impossible': False}"
53,aincrad17,9253,10.0,9.125804650809343,"{'actual_k': 40, 'was_impossible': False}"
54,xXsim00Xx,32281,10.0,9.539527347663531,"{'actual_k': 40, 'was_impossible': False}"
55,Tationax,3457,7.0,6.085477913252655,"{'actual_k': 40, 'was_impossible': False}"
56,sergeyshatunov,23079,8.0,5.953037608287774,"{'actual_k': 18, 'was_impossible': False}"
57,Tukuzuka,8074,7.0,7.91901728361497,"{'actual_k': 40, 'was_impossible': False}"
58,hampedahl,17082,7.0,7.327162924343037,"{'actual_k': 20, 'was_impossible': False}"
59,_____nekochan,29093,8.0,8.602065770591157,"{'actual_k': 24, 'was_impossible': False}"
60,bakaneko3115,4280,5.0,8.268155736435844,"{'actual_k': 37, 'was_impossible': False}"
61,Phantasmagoria,348,8.0,7.239413824710968,"{'actual_k': 9, 'was_impossible': False}"
62,blueswan,670,7.0,7.569379206119287,"{'actual_k': 10, 'was_impossible': False}"
63,tactilehenk,3469,7.0,4.722032193815349,"{'actual_k': 1, 'was_impossible': False}"
64,Junjou9,19769,6.0,7.39453697011127,"{'actual_k': 30, 'was_impossible': False}"
65,ChaynikTeapot,28617,10.0,6.94804833742125,"{'actual_k': 19, 'was_impossible': False}"
66,Jables2121,8074,7.0,7.666305235198127,"{'actual_k': 40, 'was_impossible': False}"
67,john_silvermoon,6758,8.0,7.513768054370868,"{'actual_k': 13, 'was_impossible': False}"
68,kamijoan,9936,5.0,6.768081840519195,"{'actual_k': 40, 'was_impossible': False}"
69,captainlucas,15451,10.0,6.897048107733447,"{'actual_k': 40, 'was_impossible': False}"
70,Chemical_Undead,2107,5.0,6.56485657990408,"{'actual_k': 24, 'was_impossible': False}"
71,ziomalos,10578,7.0,6.449116569654607,"{'actual_k': 40, 'was_impossible': False}"
72,Zed_Astaroth,28069,6.0,6.523559589646103,"{'actual_k': 18, 'was_impossible': False}"
73,KurokawaRyou,2873,7.0,6.369292304571761,"{'actual_k': 3, 'was_impossible': False}"
74,Shouichirou,3616,7.0,7.167253591239467,"{'actual_k': 14, 'was_impossible': False}"
75,kaczy,6682,6.0,5.149492486133999,"{'actual_k': 40, 'was_impossible': False}"
76,SisselMarston,22859,6.0,6.893993708621893,"{'actual_k': 1, 'was_impossible': False}"
77,ChilledKomodo,13807,8.0,7.031074757579768,"{'actual_k': 26, 'was_impossible': False}"
78,victorianskiy,30,10.0,9.10135138701388,"{'actual_k': 40, 'was_impossible': False}"
79,DragonKL26,13125,9.0,7.992441358564346,"{'actual_k': 40, 'was_impossible': False}"
80,CoyBoy,23985,10.0,7.617208023599813,"{'actual_k': 1, 'was_impossible': False}"
81,Vergelanimefan,10588,9.0,8.773133436119071,"{'actual_k': 37, 'was_impossible': False}"
82,RoboleX,32936,7.0,5.810246033892436,"{'actual_k': 10, 'was_impossible': False}"
83,AnotherWish,3002,9.0,8.190354679865745,"{'actual_k': 35, 'was_impossible': False}"
84,Usui-Nero,28497,8.0,8.348149824895346,"{'actual_k': 40, 'was_impossible': False}"
