,uid,iid,r_ui,est,details
0,Shouichirou,12679,8.0,7.603843454168139,"{'actual_k': 21, 'was_impossible': False}"
1,aleigh,2904,9.0,8.990496912392045,"{'actual_k': 40, 'was_impossible': False}"
2,bigkfc2k8,267,6.0,8.948602277361147,"{'actual_k': 33, 'was_impossible': False}"
3,Torah,6956,10.0,8.234402740233417,"{'actual_k': 40, 'was_impossible': False}"
4,godT,63,7.0,8.294920574152743,"{'actual_k': 40, 'was_impossible': False}"
5,lightofzeref,36511,4.2,4.178838781280222,"{'actual_k': 10, 'was_impossible': False}"
6,ranmaSA,401,10.0,9.619628850555925,"{'actual_k': 29, 'was_impossible': False}"
7,Josay,16664,9.0,7.987676040263184,"{'actual_k': 24, 'was_impossible': False}"
8,Vanroy17,58,8.0,7.812362321371296,"{'actual_k': 16, 'was_impossible': False}"
9,Ammes,814,9.0,9.139683971179835,"{'actual_k': 7, 'was_impossible': False}"
10,COpeter,1594,7.0,7.130935169735303,"{'actual_k': 36, 'was_impossible': False}"
11,ricebash,3467,8.0,7.822280572590012,"{'actual_k': 40, 'was_impossible': False}"
12,ComicalVoid,21033,8.0,7.180896814175124,"{'actual_k': 23, 'was_impossible': False}"
13,aniloratka,2025,2.8,6.547080335773444,"{'actual_k': 40, 'was_impossible': False}"
14,shanoliu,14893,6.0,6.043707299910991,"{'actual_k': 15, 'was_impossible': False}"
15,Croissant07,21659,8.0,8.665016465457914,"{'actual_k': 35, 'was_impossible': False}"
16,Shun,834,7.0,7.149101883800629,"{'actual_k': 40, 'was_impossible': False}"
17,Brompot90,27833,8.0,8.243955011880406,"{'actual_k': 30, 'was_impossible': False}"
18,darthghost,13335,7.0,7.895483191603492,"{'actual_k': 6, 'was_impossible': False}"
19,Ascension,584,6.0,5.946569720959626,"{'actual_k': 16, 'was_impossible': False}"
20,cassandra9891,232,3.6,6.435141472397762,"{'actual_k': 40, 'was_impossible': False}"
21,Cloudiez,10087,9.0,8.26154503988988,"{'actual_k': 40, 'was_impossible': False}"
22,nikmax,20,6.0,5.618581259951827,"{'actual_k': 40, 'was_impossible': False}"
23,bestpsychosean,1887,1.2,7.463085990287028,"{'actual_k': 40, 'was_impossible': False}"
24,Croissant07,25519,9.0,8.144286632941615,"{'actual_k': 18, 'was_impossible': False}"
25,Pururut-sama,11341,7.0,8.44647986332547,"{'actual_k': 2, 'was_impossible': False}"
26,kintama,6880,9.0,6.8373113810031905,"{'actual_k': 40, 'was_impossible': False}"
27,x_rated_bunny,33731,8.0,6.93488508999522,"{'actual_k': 31, 'was_impossible': False}"
28,Canari,341,8.0,6.488822408788944,"{'actual_k': 17, 'was_impossible': False}"
29,Nucik,14645,7.0,5.298075973575376,"{'actual_k': 10, 'was_impossible': False}"
30,Bakamon787,552,9.0,8.457777683945627,"{'actual_k': 40, 'was_impossible': False}"
31,lednera,3467,8.0,6.7062723797227735,"{'actual_k': 40, 'was_impossible': False}"
32,Relama,32899,1.6,6.33003463323942,"{'actual_k': 28, 'was_impossible': False}"
33,Dark_Moon13,9989,10.0,8.899738749231227,"{'actual_k': 40, 'was_impossible': False}"
34,shyguy,3358,6.0,6.979304477448932,"{'actual_k': 24, 'was_impossible': False}"
35,FrozunLightning,14749,8.0,6.299311380511888,"{'actual_k': 40, 'was_impossible': False}"
36,raduccio,21843,8.0,8.170390457470637,"{'actual_k': 38, 'was_impossible': False}"
37,Kazoo,15451,8.0,6.85361326953873,"{'actual_k': 40, 'was_impossible': False}"
38,Rogerli10,15809,9.0,8.786769631199045,"{'actual_k': 40, 'was_impossible': False}"
39,OtakuBaz,24415,8.0,8.418344816630048,"{'actual_k': 40, 'was_impossible': False}"
40,bakaneko3115,7193,10.0,7.6605704233752885,"{'actual_k': 19, 'was_impossible': False}"
41,xitsmallpie,16706,9.0,7.755381055508637,"{'actual_k': 40, 'was_impossible': False}"
42,Angelkappa,32494,7.0,6.743439916422451,"{'actual_k': 14, 'was_impossible': False}"
43,angelei28,73,7.0,9.011864064411203,"{'actual_k': 40, 'was_impossible': False}"
44,Rottenn,10719,8.0,8.162309013523274,"{'actual_k': 40, 'was_impossible': False}"
45,KarokuChan,130,8.0,5.465090553132082,"{'actual_k': 6, 'was_impossible': False}"
46,Rowan93,20057,9.0,4.779634061740426,"{'actual_k': 32, 'was_impossible': False}"
47,czerkill,6633,8.0,7.905699876029912,"{'actual_k': 12, 'was_impossible': False}"
48,Angel629,90,8.0,7.686426748794999,"{'actual_k': 24, 'was_impossible': False}"
49,penquguu,31368,8.0,7.095454087619617,"{'actual_k': 8, 'was_impossible': False}"
50,Ishin,19815,8.0,8.588355432715707,"{'actual_k': 40, 'was_impossible': False}"
51,Viendo,6205,10.0,7.0571049678398765,"{'actual_k': 40, 'was_impossible': False}"
