,uid,iid,r_ui,est,details
0,Shouichirou,12679,8.0,8.085746052164307,{'was_impossible': False}
1,aleigh,2904,9.0,8.795337109450394,{'was_impossible': False}
2,bigkfc2k8,267,6.0,8.749219580991028,{'was_impossible': False}
3,Torah,6956,10.0,7.646700958814897,{'was_impossible': False}
4,godT,63,7.0,9.035756771864333,{'was_impossible': False}
5,lightofzeref,36511,7.0,6.818561045722257,{'was_impossible': False}
6,ranmaSA,401,10.0,9.715147750644029,{'was_impossible': False}
7,Josay,16664,9.0,7.39957469773722,{'was_impossible': False}
8,Vanroy17,58,8.0,7.488599188049042,{'was_impossible': False}
9,Ammes,814,9.0,8.517041662368014,{'was_impossible': False}
10,COpeter,1594,7.0,7.503756363831375,{'was_impossible': False}
11,ricebash,3467,8.0,8.33440056315899,{'was_impossible': False}
12,ComicalVoid,21033,8.0,7.303176106664417,{'was_impossible': False}
13,aniloratka,2025,7.0,7.927969222809563,{'was_impossible': False}
14,shanoliu,14893,6.0,5.665738832382758,{'was_impossible': False}
15,Croissant07,21659,8.0,8.566354701344427,{'was_impossible': False}
16,Shun,834,7.0,7.237252188700016,{'was_impossible': False}
17,Brompot90,27833,8.0,8.460364624948946,{'was_impossible': False}
18,darthghost,13335,7.0,7.747642775164708,{'was_impossible': False}
19,Ascension,584,10.0,10.0,{'was_impossible': False}
20,cassandra9891,232,9.0,7.586533109793553,{'was_impossible': False}
21,Cloudiez,10087,9.0,9.016796233801832,{'was_impossible': False}
22,nikmax,20,6.0,6.921114433600659,{'was_impossible': False}
23,bestpsychosean,1887,6.0,6.972062237262424,{'was_impossible': False}
24,Croissant07,25519,9.0,8.072555247315403,{'was_impossible': False}
25,Pururut-sama,11341,7.0,7.26087970745131,{'was_impossible': False}
26,kintama,6880,9.0,9.068731319161394,{'was_impossible': False}
27,x_rated_bunny,33731,8.0,7.702107124188466,{'was_impossible': False}
28,Canari,341,8.0,7.5804102630084325,{'was_impossible': False}
29,Nucik,14645,7.0,6.48012808672652,{'was_impossible': False}
30,Bakamon787,552,9.0,8.277600185786374,{'was_impossible': False}
31,lednera,3467,8.0,7.876868198117801,{'was_impossible': False}
32,Relama,32899,8.0,6.8686813530761315,{'was_impossible': False}
33,Dark_Moon13,9989,10.0,8.915105638753557,{'was_impossible': False}
34,shyguy,3358,6.0,6.924559948276984,{'was_impossible': False}
35,FrozunLightning,14749,8.0,7.585150047863874,{'was_impossible': False}
36,raduccio,21843,8.0,7.886543154414189,{'was_impossible': False}
37,Kazoo,15451,8.0,7.0722793059546385,{'was_impossible': False}
38,Rogerli10,15809,9.0,9.360746156476148,{'was_impossible': False}
39,OtakuBaz,24415,8.0,8.660185717583264,{'was_impossible': False}
40,bakaneko3115,7193,10.0,7.236349158534867,{'was_impossible': False}
41,xitsmallpie,16706,9.0,7.486544233478416,{'was_impossible': False}
