,uid,iid,r_ui,est,details
0,Shouichirou,12679,8.0,8.232261221953346,{'was_impossible': False}
1,aleigh,2904,9.0,8.793068205686138,{'was_impossible': False}
2,bigkfc2k8,267,6.0,8.747039029339577,{'was_impossible': False}
3,Torah,6956,10.0,8.044244967408158,{'was_impossible': False}
4,godT,63,7.0,9.009328798004315,{'was_impossible': False}
5,lightofzeref,36511,4.2,4.714529028962704,{'was_impossible': False}
6,ranmaSA,401,10.0,9.310645760283398,{'was_impossible': False}
7,Josay,16664,9.0,7.690152874301257,{'was_impossible': False}
8,Vanroy17,58,8.0,7.683833259305967,{'was_impossible': False}
9,Ammes,814,9.0,9.109582656236771,{'was_impossible': False}
10,COpeter,1594,7.0,6.46285298290619,{'was_impossible': False}
11,ricebash,3467,8.0,8.399372983825153,{'was_impossible': False}
12,ComicalVoid,21033,8.0,6.804294284976332,{'was_impossible': False}
13,aniloratka,2025,2.8,5.7570023777562955,{'was_impossible': False}
14,shanoliu,14893,6.0,5.895506247679732,{'was_impossible': False}
15,Croissant07,21659,8.0,8.700589483505496,{'was_impossible': False}
16,Shun,834,7.0,6.5653406003091055,{'was_impossible': False}
17,Brompot90,27833,8.0,8.147976154865479,{'was_impossible': False}
18,darthghost,13335,7.0,7.973930765918456,{'was_impossible': False}
19,Ascension,584,6.0,5.427106305528206,{'was_impossible': False}
20,cassandra9891,232,3.6,5.3227534072065,{'was_impossible': False}
21,Cloudiez,10087,9.0,8.3085324616586,{'was_impossible': False}
22,nikmax,20,6.0,4.709499222790317,{'was_impossible': False}
23,bestpsychosean,1887,1.2,7.399004703129329,{'was_impossible': False}
24,Croissant07,25519,9.0,8.29188160565665,{'was_impossible': False}
25,Pururut-sama,11341,7.0,6.580854749266958,{'was_impossible': False}
26,kintama,6880,9.0,5.782693031355965,{'was_impossible': False}
27,x_rated_bunny,33731,8.0,6.901594740097784,{'was_impossible': False}
28,Canari,341,8.0,7.330776843248142,{'was_impossible': False}
29,Nucik,14645,7.0,5.2271463263087,{'was_impossible': False}
30,Bakamon787,552,9.0,7.982785929799995,{'was_impossible': False}
31,lednera,3467,8.0,6.9705242565087,{'was_impossible': False}
32,Relama,32899,1.6,5.187880587874766,{'was_impossible': False}
33,Dark_Moon13,9989,10.0,10.0,{'was_impossible': False}
34,shyguy,3358,6.0,5.491579789034109,{'was_impossible': False}
35,FrozunLightning,14749,8.0,5.565075328976826,{'was_impossible': False}
36,raduccio,21843,8.0,8.167223122468117,{'was_impossible': False}
37,Kazoo,15451,8.0,6.6208677390436,{'was_impossible': False}
38,Rogerli10,15809,9.0,9.343801227283919,{'was_impossible': False}
39,OtakuBaz,24415,8.0,8.014439768384182,{'was_impossible': False}
40,bakaneko3115,7193,10.0,6.211588950836905,{'was_impossible': False}
41,xitsmallpie,16706,9.0,8.050649865597157,{'was_impossible': False}
42,Angelkappa,32494,7.0,6.317332234140045,{'was_impossible': False}
43,angelei28,73,7.0,9.488589293295759,{'was_impossible': False}
44,Rottenn,10719,8.0,7.173122736183013,{'was_impossible': False}
45,KarokuChan,130,8.0,5.347406317860811,{'was_impossible': False}
46,Rowan93,20057,9.0,4.488039128620102,{'was_impossible': False}
47,czerkill,6633,8.0,8.136745737363858,{'was_impossible': False}
48,Angel629,90,8.0,8.695081755938585,{'was_impossible': False}
49,penquguu,31368,8.0,7.127550481439509,{'was_impossible': False}
50,Ishin,19815,8.0,7.86142497455905,{'was_impossible': False}
51,Viendo,6205,10.0,7.713997624348096,{'was_impossible': False}
52,bigkfc2k8,202,8.0,7.822437775986263,{'was_impossible': False}
53,aincrad17,9253,10.0,7.945440176076721,{'was_impossible': False}
54,xXsim00Xx,32281,10.0,9.33468095959858,{'was_impossible': False}
55,Tationax,3457,7.0,5.062224335816389,{'was_impossible': False}
56,sergeyshatunov,23079,8.0,6.133650691098689,{'was_impossible': False}
57,Tukuzuka,8074,7.0,8.50808212661384,{'was_impossible': False}
58,hampedahl,17082,7.0,6.379451211464913,{'was_impossible': False}
59,_____nekochan,29093,8.0,8.05399441035176,{'was_impossible': False}
60,bakaneko3115,4280,5.0,7.03403835714341,{'was_impossible': False}
61,Phantasmagoria,348,8.0,7.501256243547931,{'was_impossible': False}
62,blueswan,670,7.0,7.623490781848226,{'was_impossible': False}
63,tactilehenk,3469,7.0,7.16260464476115,{'was_impossible': False}
64,Junjou9,19769,1.2,5.288985764790815,{'was_impossible': False}
65,ChaynikTeapot,28617,10.0,4.884534586381893,{'was_impossible': False}
66,Jables2121,8074,7.0,6.195187447123547,{'was_impossible': False}
67,john_silvermoon,6758,3.2,3.4842462659423377,{'was_impossible': False}
68,kamijoan,9936,5.0,6.624815185063603,{'was_impossible': False}
69,captainlucas,15451,10.0,6.3046593160015885,{'was_impossible': False}
70,Chemical_Undead,2107,5.0,7.142258729422581,{'was_impossible': False}
71,ziomalos,10578,7.0,6.8083968075026995,{'was_impossible': False}
72,Zed_Astaroth,28069,6.0,6.115260571469052,{'was_impossible': False}
73,KurokawaRyou,2873,7.0,6.919429561952146,{'was_impossible': False}
74,Shouichirou,3616,7.0,7.331426296043066,{'was_impossible': False}
75,kaczy,6682,6.0,6.54933900222397,{'was_impossible': False}
76,SisselMarston,22859,6.0,6.588986987352594,{'was_impossible': False}
77,ChilledKomodo,13807,8.0,6.2710156235606105,{'was_impossible': False}
78,victorianskiy,30,10.0,8.897478842887331,{'was_impossible': False}
79,DragonKL26,13125,9.0,5.832690705413712,{'was_impossible': False}
80,CoyBoy,23985,10.0,8.11689299212353,{'was_impossible': False}
81,Vergelanimefan,10588,3.6,10.0,{'was_impossible': False}
82,RoboleX,32936,7.0,6.453407930300353,{'was_impossible': False}
83,AnotherWish,3002,9.0,7.485526686250071,{'was_impossible': False}
84,Usui-Nero,28497,8.0,8.016361340508498,{'was_impossible': False}
85,Croissant07,8557,8.0,8.405430679662038,{'was_impossible': False}
86,shamanmiyo,123,10.0,9.032972096623592,{'was_impossible': False}
87,ulyna,5356,9.0,5.4086467446752415,{'was_impossible': False}
88,Ehmahixessehihem,23673,5.0,6.739921113831655,{'was_impossible': False}
89,Karyna,34933,8.0,7.633332449462152,{'was_impossible': False}
90,HarunoSakura,3455,8.0,6.206299472194197,{'was_impossible': False}
91,dracozauryks,11843,7.0,6.00198374625468,{'was_impossible': False}
92,godT,981,10.0,8.33410096722392,{'was_impossible': False}
93,LadyTomoyo,15451,7.0,7.7981693687463425,{'was_impossible': False}
94,astranagant25,1005,6.0,7.447090968554439,{'was_impossible': False}
95,reira,18245,8.0,7.894004516270367,{'was_impossible': False}
96,goldygold,1482,6.0,6.368237835245599,{'was_impossible': False}
97,S-52,14227,6.0,7.6874628296226355,{'was_impossible': False}
98,Shouichirou,28979,8.0,7.736676712295001,{'was_impossible': False}
99,ooribaba_mama,11617,7.0,6.603847885112383,{'was_impossible': False}
100,ziomalos,1060,8.0,7.028086015751153,{'was_impossible': False}
101,EvilAEC,19221,7.0,7.038775255695322,{'was_impossible': False}
102,Awaltir,8246,8.0,7.4008861472954095,{'was_impossible': False}
103,lightofzeref,2759,8.0,7.581973868077845,{'was_impossible': False}
104,RedQueenifcation,3594,8.0,6.533346486157113,{'was_impossible': False}
105,Azurien,227,9.0,7.610179373313614,{'was_impossible': False}
106,AnessMechaelis,3588,6.0,6.9879020505897405,{'was_impossible': False}
107,paulz,2026,3.6,5.163794051814559,{'was_impossible': False}
108,Josay,2759,7.0,7.5559179092109,{'was_impossible': False}
109,Kanoe-san,986,9.0,7.10565923817698,{'was_impossible': False}
110,shanoliu,10464,6.0,5.88950344043683,{'was_impossible': False}
111,Paolo_58,34176,8.0,7.7724509331131015,{'was_impossible': False}
112,Cinx,1699,8.0,6.340984511883466,{'was_impossible': False}
113,TheMightyKawama,849,9.0,8.996819993670307,{'was_impossible': False}
114,OtakuBaz,10080,9.0,8.79997376259874,{'was_impossible': False}
115,propheaker,20,6.0,4.7681789085941055,{'was_impossible': False}
