,id_rekomendasi,username,tipe_rekomendasi,min_k,max_k,mae,rmse,banyak_rating_user
0,1,user1,wcf,3,50,1.44449,1.94521,6
1,2,user1,wcf,3,50,1.44449,1.94521,6
2,3,user1,cf,3,50,1.20416,1.55485,6
3,4,user1,wcf,5,50,1.44357,1.9446,6
4,5,anas15,wcf,5,50,1.44155,1.94147,16
5,6,anas15,cf,3,50,1.20241,1.55193,16
6,7,anas15,cf,9,50,1.20568,1.55589,16
7,8,anas15,cf,33,50,1.22766,1.58543,16
8,9,anas15,cf,49,50,1.24298,1.60348,16
9,10,anas15,wcf,49,50,1.46289,1.99536,16
10,11,wisnoe,cf,5,50,1.20709,1.55907,10
11,12,wisnoe,wcf,5,50,1.44623,1.94824,10
12,13,wisnoe,cf,33,50,1.23115,1.59118,10
13,14,wisnoe,wcf,33,50,1.45597,1.98273,10
